Energy sources and techniques;Energy application;Periods;Final consumption (TJ);Final consumption relative (% total energy cons.)
Wind energy on shore;Total energy applications;2011;14336;0,65
Wind energy on shore;Total energy applications;2012;14963;0,68
Wind energy on shore;Total energy applications;2013;16676;0,76
Wind energy on shore;Total energy applications;2014;18215;0,91
Wind energy on shore;Total energy applications;2015;21174;1,03
Wind energy on shore;Total energy applications;2016;21748;1,04
Wind energy on shore;Total energy applications;2017;22560;1,07
Wind energy on shore;Total energy applications;2018;23681;1,12
Wind energy on shore;Total energy applications;2019;26743;1,29
Wind energy on shore;Total energy applications;2020;32264;1,66
Wind energy on shore;Total energy applications;2021**;38002;1,89
Wind energy on shore;Total energy applications;2022*;47442;2,57
Wind energy off shore;Total energy applications;1990;;
Wind energy off shore;Total energy applications;1991;;
Wind energy off shore;Total energy applications;1992;;
Wind energy off shore;Total energy applications;1993;;
Wind energy off shore;Total energy applications;1994;;
Wind energy off shore;Total energy applications;1995;;
Wind energy off shore;Total energy applications;1996;;
Wind energy off shore;Total energy applications;1997;;
Wind energy off shore;Total energy applications;1998;;
Wind energy off shore;Total energy applications;1999;;
Wind energy off shore;Total energy applications;2000;;
Wind energy off shore;Total energy applications;2001;;
Wind energy off shore;Total energy applications;2002;;
Wind energy off shore;Total energy applications;2003;;
Wind energy off shore;Total energy applications;2004;;
Wind energy off shore;Total energy applications;2005;;
Wind energy off shore;Total energy applications;2006;228;0,01
Wind energy off shore;Total energy applications;2007;1092;0,05
Wind energy off shore;Total energy applications;2008;1977;0,09
Wind energy off shore;Total energy applications;2009;2588;0,12
Wind energy off shore;Total energy applications;2010;2755;0,12
Wind energy off shore;Total energy applications;2011;2674;0,12
Wind energy off shore;Total energy applications;2012;2817;0,13
Wind energy off shore;Total energy applications;2013;2648;0,12
Wind energy off shore;Total energy applications;2014;2700;0,13
Wind energy off shore;Total energy applications;2015;3727;0,18
Wind energy off shore;Total energy applications;2016;8362;0,4
Wind energy off shore;Total energy applications;2017;12150;0,58
Wind energy off shore;Total energy applications;2018;12426;0,59
Wind energy off shore;Total energy applications;2019;12041;0,58
Wind energy off shore;Total energy applications;2020;17951;0,92
Wind energy off shore;Total energy applications;2021**;30615;1,53
Wind energy off shore;Total energy applications;2022*;30173;1,63
Solar energy;Total energy applications;1990;102;0,01
Solar energy;Total energy applications;1991;115;0,01
Solar energy;Total energy applications;1992;139;0,01
Solar energy;Total energy applications;1993;157;0,01
Solar energy;Total energy applications;1994;184;0,01
Solar energy;Total energy applications;1995;216;0,01
Solar energy;Total energy applications;1996;251;0,01
Solar energy;Total energy applications;1997;303;0,01
Solar energy;Total energy applications;1998;358;0,02
Solar energy;Total energy applications;1999;424;0,02
Solar energy;Total energy applications;2000;482;0,02
Solar energy;Total energy applications;2001;553;0,03
Solar energy;Total energy applications;2002;634;0,03
Solar energy;Total energy applications;2003;715;0,03
Solar energy;Total energy applications;2004;795;0,03
Solar energy;Total energy applications;2005;847;0,04
Solar energy;Total energy applications;2006;886;0,04
Solar energy;Total energy applications;2007;934;0,04
Solar energy;Total energy applications;2008;988;0,04
Solar energy;Total energy applications;2009;1088;0,05
Solar energy;Total energy applications;2010;1196;0,05
Solar energy;Total energy applications;2011;1416;0,06
Solar energy;Total energy applications;2012;1757;0,08
Solar energy;Total energy applications;2013;2582;0,12
Solar energy;Total energy applications;2014;3739;0,19
Solar energy;Total energy applications;2015;5127;0,25
Solar energy;Total energy applications;2016;6913;0,33
Solar energy;Total energy applications;2017;9080;0,43
Solar energy;Total energy applications;2018;14510;0,69
Solar energy;Total energy applications;2019;20617;0,99
Solar energy;Total energy applications;2020;32729;1,68
Solar energy;Total energy applications;2021**;42547;2,12
Solar energy;Total energy applications;2022*;61740;3,34
Solar photovoltaic;Total energy applications;1990;2;0
Solar photovoltaic;Total energy applications;1991;2;0
Solar photovoltaic;Total energy applications;1992;3;0
Solar photovoltaic;Total energy applications;1993;4;0
Solar photovoltaic;Total energy applications;1994;5;0
Solar photovoltaic;Total energy applications;1995;5;0
Solar photovoltaic;Total energy applications;1996;7;0
Solar photovoltaic;Total energy applications;1997;9;0
Solar photovoltaic;Total energy applications;1998;13;0
Solar photovoltaic;Total energy applications;1999;20;0
Solar photovoltaic;Total energy applications;2000;28;0
Solar photovoltaic;Total energy applications;2001;42;0
Solar photovoltaic;Total energy applications;2002;59;0
Solar photovoltaic;Total energy applications;2003;91;0
Solar photovoltaic;Total energy applications;2004;121;0,01
Solar photovoltaic;Total energy applications;2005;128;0,01
Solar photovoltaic;Total energy applications;2006;132;0,01
Solar photovoltaic;Total energy applications;2007;135;0,01
Solar photovoltaic;Total energy applications;2008;143;0,01
Solar photovoltaic;Total energy applications;2009;162;0,01
Solar photovoltaic;Total energy applications;2010;201;0,01
Solar photovoltaic;Total energy applications;2011;376;0,02
Solar photovoltaic;Total energy applications;2012;686;0,03
Solar photovoltaic;Total energy applications;2013;1476;0,07
Solar photovoltaic;Total energy applications;2014;2611;0,13
Solar photovoltaic;Total energy applications;2015;3991;0,19
Solar photovoltaic;Total energy applications;2016;5767;0,28
Solar photovoltaic;Total energy applications;2017;7936;0,38
Solar photovoltaic;Total energy applications;2018;13354;0,63
Solar photovoltaic;Total energy applications;2019;19437;0,94
Solar photovoltaic;Total energy applications;2020;31553;1,62
Solar photovoltaic;Total energy applications;2021**;41383;2,06
Solar photovoltaic;Total energy applications;2022*;60576;3,28
Solar thermal, total;Total energy applications;1990;100;0,01
Solar thermal, total;Total energy applications;1991;113;0,01
Solar thermal, total;Total energy applications;1992;136;0,01
Solar thermal, total;Total energy applications;1993;154;0,01
Solar thermal, total;Total energy applications;1994;180;0,01
Solar thermal, total;Total energy applications;1995;211;0,01
Solar thermal, total;Total energy applications;1996;244;0,01
Solar thermal, total;Total energy applications;1997;294;0,01
Solar thermal, total;Total energy applications;1998;345;0,02
Solar thermal, total;Total energy applications;1999;404;0,02
Solar thermal, total;Total energy applications;2000;454;0,02
Solar thermal, total;Total energy applications;2001;511;0,02
Solar thermal, total;Total energy applications;2002;575;0,03
Solar thermal, total;Total energy applications;2003;624;0,03
Solar thermal, total;Total energy applications;2004;674;0,03
Solar thermal, total;Total energy applications;2005;719;0,03
Solar thermal, total;Total energy applications;2006;755;0,03
Solar thermal, total;Total energy applications;2007;798;0,04
Solar thermal, total;Total energy applications;2008;846;0,04
Solar thermal, total;Total energy applications;2009;926;0,04
Solar thermal, total;Total energy applications;2010;994;0,04
Solar thermal, total;Total energy applications;2011;1040;0,05
Solar thermal, total;Total energy applications;2012;1070;0,05
Solar thermal, total;Total energy applications;2013;1106;0,05
Solar thermal, total;Total energy applications;2014;1128;0,06
Solar thermal, total;Total energy applications;2015;1137;0,06
Solar thermal, total;Total energy applications;2016;1147;0,05
Solar thermal, total;Total energy applications;2017;1144;0,05
Solar thermal, total;Total energy applications;2018;1156;0,05
Solar thermal, total;Total energy applications;2019;1180;0,06
Solar thermal, total;Total energy applications;2020;1176;0,06
Solar thermal, total;Total energy applications;2021**;1164;0,06
Solar thermal, total;Total energy applications;2022*;1164;0,06
Total geothermal energy;Total energy applications;1990;;
Total geothermal energy;Total energy applications;1991;;
Total geothermal energy;Total energy applications;1992;;
Total geothermal energy;Total energy applications;1993;;
Total geothermal energy;Total energy applications;1994;28;0
Total geothermal energy;Total energy applications;1995;31;0
Total geothermal energy;Total energy applications;1996;36;0
Total geothermal energy;Total energy applications;1997;56;0
Total geothermal energy;Total energy applications;1998;90;0
Total geothermal energy;Total energy applications;1999;117;0,01
Total geothermal energy;Total energy applications;2000;156;0,01
Total geothermal energy;Total energy applications;2001;187;0,01
Total geothermal energy;Total energy applications;2002;244;0,01
Total geothermal energy;Total energy applications;2003;311;0,01
Total geothermal energy;Total energy applications;2004;452;0,02
Total geothermal energy;Total energy applications;2005;628;0,03
Total geothermal energy;Total energy applications;2006;840;0,04
Total geothermal energy;Total energy applications;2007;1141;0,05
Total geothermal energy;Total energy applications;2008;1584;0,07
Total geothermal energy;Total energy applications;2009;1983;0,09
Total geothermal energy;Total energy applications;2010;2501;0,11
Total geothermal energy;Total energy applications;2011;2854;0,13
Total geothermal energy;Total energy applications;2012;3347;0,15
Total geothermal energy;Total energy applications;2013;4140;0,19
Total geothermal energy;Total energy applications;2014;4906;0,24
Total geothermal energy;Total energy applications;2015;6082;0,3
Total geothermal energy;Total energy applications;2016;6699;0,32
Total geothermal energy;Total energy applications;2017;7127;0,34
Total geothermal energy;Total energy applications;2018;8114;0,38
Total geothermal energy;Total energy applications;2019;10279;0,49
Total geothermal energy;Total energy applications;2020;11282;0,58
Total geothermal energy;Total energy applications;2021**;11847;0,59
Total geothermal energy;Total energy applications;2022*;12792;0,69
Deep geothermal heat;Total energy applications;1990;;
Deep geothermal heat;Total energy applications;1991;;
Deep geothermal heat;Total energy applications;1992;;
Deep geothermal heat;Total energy applications;1993;;
Deep geothermal heat;Total energy applications;1994;;
Deep geothermal heat;Total energy applications;1995;;
Deep geothermal heat;Total energy applications;1996;;
Deep geothermal heat;Total energy applications;1997;;
Deep geothermal heat;Total energy applications;1998;;
Deep geothermal heat;Total energy applications;1999;;
Deep geothermal heat;Total energy applications;2000;;
Deep geothermal heat;Total energy applications;2001;;
Deep geothermal heat;Total energy applications;2002;;
Deep geothermal heat;Total energy applications;2003;;
Deep geothermal heat;Total energy applications;2004;;
Deep geothermal heat;Total energy applications;2005;;
Deep geothermal heat;Total energy applications;2006;;
Deep geothermal heat;Total energy applications;2007;;
Deep geothermal heat;Total energy applications;2008;96;0
Deep geothermal heat;Total energy applications;2009;142;0,01
Deep geothermal heat;Total energy applications;2010;318;0,01
Deep geothermal heat;Total energy applications;2011;316;0,01
Deep geothermal heat;Total energy applications;2012;495;0,02
Deep geothermal heat;Total energy applications;2013;993;0,05
Deep geothermal heat;Total energy applications;2014;1502;0,07
Deep geothermal heat;Total energy applications;2015;2448;0,12
Deep geothermal heat;Total energy applications;2016;2844;0,14
Deep geothermal heat;Total energy applications;2017;3047;0,14
Deep geothermal heat;Total energy applications;2018;3731;0,18
Deep geothermal heat;Total energy applications;2019;5563;0,27
Deep geothermal heat;Total energy applications;2020;6185;0,32
Deep geothermal heat;Total energy applications;2021**;6327;0,32
Deep geothermal heat;Total energy applications;2022*;6798;0,37
Total shallow geothermal energy;Total energy applications;1990;;
Total shallow geothermal energy;Total energy applications;1991;;
Total shallow geothermal energy;Total energy applications;1992;;
Total shallow geothermal energy;Total energy applications;1993;;
Total shallow geothermal energy;Total energy applications;1994;28;0
Total shallow geothermal energy;Total energy applications;1995;31;0
Total shallow geothermal energy;Total energy applications;1996;36;0
Total shallow geothermal energy;Total energy applications;1997;56;0
Total shallow geothermal energy;Total energy applications;1998;90;0
Total shallow geothermal energy;Total energy applications;1999;117;0,01
Total shallow geothermal energy;Total energy applications;2000;156;0,01
Total shallow geothermal energy;Total energy applications;2001;187;0,01
Total shallow geothermal energy;Total energy applications;2002;244;0,01
Total shallow geothermal energy;Total energy applications;2003;311;0,01
Total shallow geothermal energy;Total energy applications;2004;452;0,02
Total shallow geothermal energy;Total energy applications;2005;628;0,03
Total shallow geothermal energy;Total energy applications;2006;840;0,04
Total shallow geothermal energy;Total energy applications;2007;1141;0,05
Total shallow geothermal energy;Total energy applications;2008;1488;0,07
Total shallow geothermal energy;Total energy applications;2009;1841;0,08
Total shallow geothermal energy;Total energy applications;2010;2183;0,09
Total shallow geothermal energy;Total energy applications;2011;2538;0,12
Total shallow geothermal energy;Total energy applications;2012;2852;0,13
Total shallow geothermal energy;Total energy applications;2013;3147;0,14
Total shallow geothermal energy;Total energy applications;2014;3404;0,17
Total shallow geothermal energy;Total energy applications;2015;3634;0,18
Total shallow geothermal energy;Total energy applications;2016;3855;0,18
Total shallow geothermal energy;Total energy applications;2017;4081;0,19
Total shallow geothermal energy;Total energy applications;2018;4383;0,21
Total shallow geothermal energy;Total energy applications;2019;4715;0,23
Total shallow geothermal energy;Total energy applications;2020;5097;0,26
Total shallow geothermal energy;Total energy applications;2021**;5519;0,28
Total shallow geothermal energy;Total energy applications;2022*;5994;0,32
Aerothermal heat;Total energy applications;1990;;
Aerothermal heat;Total energy applications;1991;;
Aerothermal heat;Total energy applications;1992;;
Aerothermal heat;Total energy applications;1993;;
Aerothermal heat;Total energy applications;1994;7;0
Aerothermal heat;Total energy applications;1995;7;0
Aerothermal heat;Total energy applications;1996;8;0
Aerothermal heat;Total energy applications;1997;12;0
Aerothermal heat;Total energy applications;1998;19;0
Aerothermal heat;Total energy applications;1999;21;0
Aerothermal heat;Total energy applications;2000;23;0
Aerothermal heat;Total energy applications;2001;28;0
Aerothermal heat;Total energy applications;2002;44;0
Aerothermal heat;Total energy applications;2003;59;0
Aerothermal heat;Total energy applications;2004;72;0
Aerothermal heat;Total energy applications;2005;81;0
Aerothermal heat;Total energy applications;2006;90;0
Aerothermal heat;Total energy applications;2007;106;0
Aerothermal heat;Total energy applications;2008;195;0,01
Aerothermal heat;Total energy applications;2009;351;0,02
Aerothermal heat;Total energy applications;2010;536;0,02
Aerothermal heat;Total energy applications;2011;737;0,03
Aerothermal heat;Total energy applications;2012;961;0,04
Aerothermal heat;Total energy applications;2013;1230;0,06
Aerothermal heat;Total energy applications;2014;1592;0,08
Aerothermal heat;Total energy applications;2015;2019;0,1
Aerothermal heat;Total energy applications;2016;2635;0,13
Aerothermal heat;Total energy applications;2017;3529;0,17
Aerothermal heat;Total energy applications;2018;4668;0,22
Aerothermal heat;Total energy applications;2019;6167;0,3
Aerothermal heat;Total energy applications;2020;8012;0,41
Aerothermal heat;Total energy applications;2021**;10680;0,53
Aerothermal heat;Total energy applications;2022*;14467;0,78
Total biomass;Total energy applications;1990;21163;1,16
Total biomass;Total energy applications;1991;21755;1,12
Total biomass;Total energy applications;1992;22187;1,16
Total biomass;Total energy applications;1993;22788;1,15
Total biomass;Total energy applications;1994;22929;1,17
Total biomass;Total energy applications;1995;23720;1,17
Total biomass;Total energy applications;1996;25786;1,17
Total biomass;Total energy applications;1997;28396;1,34
Total biomass;Total energy applications;1998;29060;1,37
Total biomass;Total energy applications;1999;30081;1,45
Total biomass;Total energy applications;2000;30989;1,45
Total biomass;Total energy applications;2001;32469;1,49
Total biomass;Total energy applications;2002;35113;1,62
Total biomass;Total energy applications;2003;34262;1,55
Total biomass;Total energy applications;2004;39396;1,69
Total biomass;Total energy applications;2005;47907;2,08
Total biomass;Total energy applications;2006;52156;2,28
Total biomass;Total energy applications;2007;60188;2,68
Total biomass;Total energy applications;2008;64823;2,84
Total biomass;Total energy applications;2009;73747;3,36
Total biomass;Total energy applications;2010;71605;3,03
Total biomass;Total energy applications;2011;76881;3,51
Total biomass;Total energy applications;2012;78470;3,56
Total biomass;Total energy applications;2013;75825;3,44
Total biomass;Total energy applications;2014;77317;3,85
Total biomass;Total energy applications;2015;78707;3,85
Total biomass;Total energy applications;2016;75469;3,61
Total biomass;Total energy applications;2017;82029;3,9
Total biomass;Total energy applications;2018;92566;4,37
Total biomass;Total energy applications;2019;108445;5,22
Total biomass;Total energy applications;2020;120444;6,2
Total biomass;Total energy applications;2021**;126735;6,32
Total biomass;Total energy applications;2022*;110146;5,96
"Municipal waste; renewable fraction";Total energy applications;1990;4145;0,23
"Municipal waste; renewable fraction";Total energy applications;1991;4351;0,22
"Municipal waste; renewable fraction";Total energy applications;1992;4289;0,22
"Municipal waste; renewable fraction";Total energy applications;1993;4467;0,22
"Municipal waste; renewable fraction";Total energy applications;1994;4104;0,21
"Municipal waste; renewable fraction";Total energy applications;1995;4300;0,21
"Municipal waste; renewable fraction";Total energy applications;1996;5692;0,26
"Municipal waste; renewable fraction";Total energy applications;1997;8227;0,39
"Municipal waste; renewable fraction";Total energy applications;1998;8724;0,41
"Municipal waste; renewable fraction";Total energy applications;1999;9090;0,44
"Municipal waste; renewable fraction";Total energy applications;2000;9126;0,43
"Municipal waste; renewable fraction";Total energy applications;2001;9010;0,41
"Municipal waste; renewable fraction";Total energy applications;2002;9365;0,43
"Municipal waste; renewable fraction";Total energy applications;2003;9272;0,42
"Municipal waste; renewable fraction";Total energy applications;2004;9441;0,41
"Municipal waste; renewable fraction";Total energy applications;2005;9798;0,43
"Municipal waste; renewable fraction";Total energy applications;2006;10646;0,47
"Municipal waste; renewable fraction";Total energy applications;2007;10988;0,49
"Municipal waste; renewable fraction";Total energy applications;2008;11711;0,51
"Municipal waste; renewable fraction";Total energy applications;2009;13135;0,6
"Municipal waste; renewable fraction";Total energy applications;2010;14056;0,6
"Municipal waste; renewable fraction";Total energy applications;2011;16393;0,75
"Municipal waste; renewable fraction";Total energy applications;2012;17857;0,81
"Municipal waste; renewable fraction";Total energy applications;2013;18526;0,84
"Municipal waste; renewable fraction";Total energy applications;2014;18628;0,93
"Municipal waste; renewable fraction";Total energy applications;2015;20711;1,01
"Municipal waste; renewable fraction";Total energy applications;2016;20004;0,96
"Municipal waste; renewable fraction";Total energy applications;2017;19941;0,95
"Municipal waste; renewable fraction";Total energy applications;2018;16588;0,78
"Municipal waste; renewable fraction";Total energy applications;2019;16647;0,8
"Municipal waste; renewable fraction";Total energy applications;2020;17018;0,88
"Municipal waste; renewable fraction";Total energy applications;2021**;18418;0,92
"Municipal waste; renewable fraction";Total energy applications;2022*;18347;0,99
Co-firing of biomass in electr. plants;Total energy applications;1990;;
Co-firing of biomass in electr. plants;Total energy applications;1991;;
Co-firing of biomass in electr. plants;Total energy applications;1992;;
Co-firing of biomass in electr. plants;Total energy applications;1993;;
Co-firing of biomass in electr. plants;Total energy applications;1994;;
Co-firing of biomass in electr. plants;Total energy applications;1995;16;0
Co-firing of biomass in electr. plants;Total energy applications;1996;157;0,01
Co-firing of biomass in electr. plants;Total energy applications;1997;150;0,01
Co-firing of biomass in electr. plants;Total energy applications;1998;394;0,02
Co-firing of biomass in electr. plants;Total energy applications;1999;608;0,03
Co-firing of biomass in electr. plants;Total energy applications;2000;763;0,04
Co-firing of biomass in electr. plants;Total energy applications;2001;2186;0,1
Co-firing of biomass in electr. plants;Total energy applications;2002;4306;0,2
Co-firing of biomass in electr. plants;Total energy applications;2003;2942;0,13
Co-firing of biomass in electr. plants;Total energy applications;2004;6116;0,26
Co-firing of biomass in electr. plants;Total energy applications;2005;13109;0,57
Co-firing of biomass in electr. plants;Total energy applications;2006;12230;0,54
Co-firing of biomass in electr. plants;Total energy applications;2007;7359;0,33
Co-firing of biomass in electr. plants;Total energy applications;2008;8883;0,39
