Energy sources and techniques;Energy application;Periods;Final consumption (TJ);Final consumption relative (% total energy cons.)
Liquid biofuels for transport, total;Total energy applications;2016;10435;0,5
Liquid biofuels for transport, total;Total energy applications;2017;13483;0,64
Liquid biofuels for transport, total;Total energy applications;2018;22868;1,08
Liquid biofuels for transport, total;Total energy applications;2019;28437;1,37
Liquid biofuels for transport, total;Total energy applications;2020;24328;1,25
Liquid biofuels for transport, total;Total energy applications;2021**;27738;1,38
Liquid biofuels for transport, total;Total energy applications;2022*;26556;1,44
Biogasoline;Total energy applications;1990;;
Biogasoline;Total energy applications;1991;;
Biogasoline;Total energy applications;1992;;
Biogasoline;Total energy applications;1993;;
Biogasoline;Total energy applications;1994;;
Biogasoline;Total energy applications;1995;;
Biogasoline;Total energy applications;1996;;
Biogasoline;Total energy applications;1997;;
Biogasoline;Total energy applications;1998;;
Biogasoline;Total energy applications;1999;;
Biogasoline;Total energy applications;2000;;
Biogasoline;Total energy applications;2001;;
Biogasoline;Total energy applications;2002;;
Biogasoline;Total energy applications;2003;;
Biogasoline;Total energy applications;2004;;
Biogasoline;Total energy applications;2005;;
Biogasoline;Total energy applications;2006;798;0,03
Biogasoline;Total energy applications;2007;3687;0,16
Biogasoline;Total energy applications;2008;4524;0,2
Biogasoline;Total energy applications;2009;5771;0,26
Biogasoline;Total energy applications;2010;5614;0,24
Biogasoline;Total energy applications;2011;6231;0,28
Biogasoline;Total energy applications;2012;5211;0,24
Biogasoline;Total energy applications;2013;5210;0,24
Biogasoline;Total energy applications;2014;5379;0,27
Biogasoline;Total energy applications;2015;5950;0,29
Biogasoline;Total energy applications;2016;4752;0,23
Biogasoline;Total energy applications;2017;5399;0,26
Biogasoline;Total energy applications;2018;7146;0,34
Biogasoline;Total energy applications;2019;8320;0,4
Biogasoline;Total energy applications;2020;9480;0,49
Biogasoline;Total energy applications;2021**;9765;0,49
Biogasoline;Total energy applications;2022*;10512;0,57
Biodiesel;Total energy applications;1990;;
Biodiesel;Total energy applications;1991;;
Biodiesel;Total energy applications;1992;;
Biodiesel;Total energy applications;1993;;
Biodiesel;Total energy applications;1994;;
Biodiesel;Total energy applications;1995;;
Biodiesel;Total energy applications;1996;;
Biodiesel;Total energy applications;1997;;
Biodiesel;Total energy applications;1998;;
Biodiesel;Total energy applications;1999;;
Biodiesel;Total energy applications;2000;;
Biodiesel;Total energy applications;2001;;
Biodiesel;Total energy applications;2002;;
Biodiesel;Total energy applications;2003;134;0,01
Biodiesel;Total energy applications;2004;134;0,01
Biodiesel;Total energy applications;2005;101;0
Biodiesel;Total energy applications;2006;968;0,04
Biodiesel;Total energy applications;2007;9344;0,42
Biodiesel;Total energy applications;2008;7524;0,33
Biodiesel;Total energy applications;2009;9835;0,45
Biodiesel;Total energy applications;2010;3963;0,17
Biodiesel;Total energy applications;2011;7207;0,33
Biodiesel;Total energy applications;2012;8142;0,37
Biodiesel;Total energy applications;2013;7714;0,35
Biodiesel;Total energy applications;2014;9723;0,48
Biodiesel;Total energy applications;2015;7365;0,36
Biodiesel;Total energy applications;2016;5683;0,27
Biodiesel;Total energy applications;2017;8084;0,38
Biodiesel;Total energy applications;2018;15722;0,74
Biodiesel;Total energy applications;2019;20116;0,97
Biodiesel;Total energy applications;2020;14847;0,76
Biodiesel;Total energy applications;2021**;17973;0,9
Biodiesel;Total energy applications;2022*;16044;0,87
