Sources;Periods;CO2 (mln kgs);CH4 (mln kgs);N2O (mln kgs)
Road transport;2014;27600;2,45;0,81
Road transport;2015;27700;2,4;0,82
Road transport;2016;27900;2,38;0,79
Road transport;2017;28700;2,52;0,84
Road transport;2018;28900;2,45;0,83
Road transport;2019;28500;2,51;0,82
Road transport;2020;24300;2,21;0,7
Road transport;2021;24400;2,3;0,7
Water transport;1990;700;0,09;0,02
Water transport;1991;800;0,1;0,02
Water transport;1992;800;0,09;0,02
Water transport;1993;800;0,1;0,02
Water transport;1994;800;0,09;0,02
Water transport;1995;800;0,1;0,02
Water transport;1996;800;0,11;0,02
Water transport;1997;800;0,1;0,02
Water transport;1998;800;0,1;0,02
Water transport;1999;800;0,11;0,02
Water transport;2000;800;0,11;0,02
Water transport;2001;800;0,11;0,02
Water transport;2002;900;0,12;0,02
Water transport;2003;800;0,12;0,02
Water transport;2004;800;0,12;0,02
Water transport;2005;900;0,13;0,02
Water transport;2006;1000;0,13;0,02
Water transport;2007;1000;0,14;0,03
Water transport;2008;1000;0,14;0,03
Water transport;2009;1000;0,14;0,03
Water transport;2010;1200;0,15;0,03
Water transport;2011;1200;0,15;0,03
Water transport;2012;1100;0,14;0,03
Water transport;2013;1100;0,15;0,03
Water transport;2014;1000;0,13;0,03
Water transport;2015;1100;0,14;0,03
Water transport;2016;1000;0,14;0,03
Water transport;2017;1000;0,13;0,03
Water transport;2018;1000;0,13;0,03
Water transport;2019;900;0,13;0,02
Water transport;2020;700;0,1;0,02
Water transport;2021;800;0,11;0,02
Agriculture (mobile sources);1990;1100;0,2;0,01
Agriculture (mobile sources);1991;1100;0,19;0,01
Agriculture (mobile sources);1992;1100;0,18;0,01
Agriculture (mobile sources);1993;1100;0,18;0,01
Agriculture (mobile sources);1994;1100;0,17;0,01
Agriculture (mobile sources);1995;1100;0,18;0,01
Agriculture (mobile sources);1996;1000;0,17;0,01
Agriculture (mobile sources);1997;1000;0,17;0,01
Agriculture (mobile sources);1998;1000;0,16;0,01
Agriculture (mobile sources);1999;1100;0,17;0,01
Agriculture (mobile sources);2000;1100;0,17;0,01
Agriculture (mobile sources);2001;1100;0,17;0,01
Agriculture (mobile sources);2002;1100;0,16;0,01
Agriculture (mobile sources);2003;1100;0,12;0,01
Agriculture (mobile sources);2004;1000;0,11;0,01
Agriculture (mobile sources);2005;1100;0,11;0,01
Agriculture (mobile sources);2006;1100;0,1;0,01
Agriculture (mobile sources);2007;1100;0,1;0,01
Agriculture (mobile sources);2008;1100;0,09;0,01
Agriculture (mobile sources);2009;1000;0,09;0,01
Agriculture (mobile sources);2010;1100;0,09;0,01
Agriculture (mobile sources);2011;1100;0,09;0,01
Agriculture (mobile sources);2012;1100;0,08;0,01
Agriculture (mobile sources);2013;1200;0,08;0,01
Agriculture (mobile sources);2014;1300;0,08;0,01
Agriculture (mobile sources);2015;1300;0,08;0,01
Agriculture (mobile sources);2016;1200;0,07;0,01
Agriculture (mobile sources);2017;1200;0,07;0,01
Agriculture (mobile sources);2018;1300;0,07;0,01
Agriculture (mobile sources);2019;1200;0,06;0,01
Agriculture (mobile sources);2020;1300;0,06;0,01
Agriculture (mobile sources);2021;1300;0,06;0,01
