Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total energy commodities;Total energy sector;2020;549,2;881,7;8149,2;8500,3;18,6;;549,1;335,7;187,8;25,6;;
Total energy commodities;Total energy sector;2021**;568;826,4;8231,5;8766,4;276,5;;568;341,5;200,5;25,9;;
Total energy commodities;Total energy sector;2022**;551,6;700,6;8319,4;8201,2;-267,2;;551,5;336,9;188,7;25,9;;
Total energy commodities;Total final users of energy;1990;2275,2;49,9;5589,8;3376,5;12,1;;2275,2;59,2;1,6;;1799;415,5
Total energy commodities;Total final users of energy;1991;2364,1;54,2;6086,1;3751,3;-25;;2364,1;49,9;1,6;;1902,5;410,1
Total energy commodities;Total final users of energy;1992;2334,6;59,6;5803,6;3530,8;2,1;;2334,6;50,4;1,7;;1871,4;411
Total energy commodities;Total final users of energy;1993;2376,1;64,4;6217,6;3912,9;6,9;;2376,1;49,7;2,3;;1928,7;395,4
Total energy commodities;Total final users of energy;1994;2373,9;65,6;6507;4159;-39,7;;2373,9;49,9;2;;1892,3;429,7
Total energy commodities;Total final users of energy;1995;2462;68,9;6374,9;4043,4;61,6;;2462;49,8;2;;1963,4;446,8
Total energy commodities;Total final users of energy;1996;2634,1;76,6;6848,4;4280,7;-10,2;;2634,1;58,3;2,4;;2128,1;445,4
Total energy commodities;Total final users of energy;1997;2531,6;86;6902,4;4439,9;-17;;2531,6;60,1;2,6;;2001,9;467
Total energy commodities;Total final users of energy;1998;2521,4;89,3;7063,9;4555,6;-76,2;;2521,4;63,7;2,8;;1999,4;455,4
Total energy commodities;Total final users of energy;1999;2521;92,7;6874,5;4557,5;111,3;;2521;65,1;2,8;;1995,2;458
Total energy commodities;Total final users of energy;2000;2528,1;94,7;7324,2;4854,1;-36,7;;2528,1;65,2;2,8;;1989,4;470,7
Total energy commodities;Total final users of energy;2001;2557,4;93,9;7446,8;4986;2,6;;2557,4;65,3;2,7;;2022,7;466,7
Total energy commodities;Total final users of energy;2002;2586,9;101,4;7889,2;5433,4;29,8;;2586,9;64,6;2,8;;2019,9;499,6
