Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Renewable energy;Total energy sector;2001;12,1;10,2;2,2;0,3;;;12,1;12,1;;;;
Renewable energy;Total energy sector;2002;16,5;10,9;5,8;0,3;;;16,5;16,5;;;;
Renewable energy;Total energy sector;2003;14,5;10,8;3,9;0,2;;;14,5;14,5;;;;
Renewable energy;Total energy sector;2004;22,5;10,8;11,9;0,3;;;22,5;22,5;;;;
Renewable energy;Total energy sector;2005;38,6;14;24,6;;;;38,6;38,6;;;;
Renewable energy;Total energy sector;2006;39,7;17,8;22;;;;39,7;39,7;;;;
Renewable energy;Total energy sector;2007;37,6;15,6;22;;;;37,6;37,6;;;;
Renewable energy;Total energy sector;2008;48,2;19,1;29,1;;;;48,2;48,2;;;;
Renewable energy;Total energy sector;2009;54,3;22,6;31,7;;;;54,3;54,3;;;;
Renewable energy;Total energy sector;2010;52,5;23,3;29,2;;;;52,5;52,5;;;;
Renewable energy;Total energy sector;2011;53,3;25;28,3;;;;53,3;53,3;;;;
Renewable energy;Total energy sector;2012;53,9;27,4;26,6;;;;53,9;53,9;;;;
Renewable energy;Total energy sector;2013;47,4;26,4;21;;;;47,4;47,4;0;;;
Renewable energy;Total energy sector;2014;42,5;28,6;13,9;;;;42,5;42,5;;;;
Renewable energy;Total energy sector;2015;45;47,3;10,7;13,3;0,4;;45;45;;;;
Renewable energy;Total energy sector;2016;45,8;52,1;7,4;13,8;0,1;;45,8;45,8;;;;
Renewable energy;Total energy sector;2017;56,4;63,5;8,1;15,4;0,2;;56,4;56,4;;;;
Renewable energy;Total energy sector;2018;58,1;63,5;10,9;15,8;-0,4;;58,1;58,1;;;;
Renewable energy;Total energy sector;2019;78,4;70,1;23,7;15,4;0;;78,4;78,4;;;;
Renewable energy;Total energy sector;2020;122,6;84,6;51,8;13,5;-0,3;;122,6;122,6;;;;
Renewable energy;Total energy sector;2021**;152,1;100,2;67,5;15,8;0,2;;152,1;152,1;;;;
Renewable energy;Total energy sector;2022**;154,6;116,8;60,5;22,3;-0,4;;154,6;154,6;;;;
Renewable energy;Total final users of energy;1990;30,7;30,7;;;;;30,7;14,9;;;15,8;
Renewable energy;Total final users of energy;1991;31;31;;;;;31;15,1;;;15,9;
Renewable energy;Total final users of energy;1992;31,7;31,7;;;;;31,7;15,6;;;16,1;
Renewable energy;Total final users of energy;1993;34;34;;;;;34;17,6;;;16,4;
Renewable energy;Total final users of energy;1994;34;34;;;;;34;17,3;;;16,7;
Renewable energy;Total final users of energy;1995;36,1;36,5;0,2;0,6;;;36,1;18,4;;;17,7;
Renewable energy;Total final users of energy;1996;41;41,6;0,2;0,8;;;41;22,8;;;18,3;
Renewable energy;Total final users of energy;1997;44,7;45,2;0,2;0,6;;;44,7;26,1;;;18,6;
Renewable energy;Total final users of energy;1998;46,3;48,6;0,2;2,5;;;46,3;27,7;;;18,7;
Renewable energy;Total final users of energy;1999;47,7;50,7;0,1;3,2;;;47,7;29;;;18,7;
Renewable energy;Total final users of energy;2000;48,3;53,2;0,1;5;;;48,3;29,7;;;18,7;
Renewable energy;Total final users of energy;2001;47,4;55;0,1;7,7;;;47,4;28,9;;;18,5;
Renewable energy;Total final users of energy;2002;48,9;60,8;0,1;12;;;48,9;30,3;;;18,6;
Renewable energy;Total final users of energy;2003;49,5;61,5;;12;;;49,5;30,2;;;19,3;
Renewable energy;Total final users of energy;2004;53,2;67,8;0,2;14,7;;;53,2;32,2;;;21;
Renewable energy;Total final users of energy;2005;56,2;68,5;0,1;12,4;;;56,2;34,2;;;22;
Renewable energy;Total final users of energy;2006;61,5;72,7;2,2;13,4;;;61,5;37,9;;;23,6;
Renewable energy;Total final users of energy;2007;67,8;79,3;21,4;30;-2,9;;67,8;43,5;;;24,3;
Renewable energy;Total final users of energy;2008;78,5;88,9;25;31,2;-4,1;;78,5;53,5;;;25;
Renewable energy;Total final users of energy;2009;85,6;100,1;24,1;38,1;-0,5;;85,6;59,6;;;26;
Renewable energy;Total final users of energy;2010;84,8;107,2;21,9;46,8;2,6;;84,8;58,6;;;26,2;
Renewable energy;Total final users of energy;2011;89,9;112,2;26;46,5;-1,8;;89,9;63,2;;;26,7;
Renewable energy;Total final users of energy;2012;96,7;139;57,4;97,4;-2,3;;96,7;69,4;;;27,3;
Renewable energy;Total final users of energy;2013;101,4;159,3;77;130,8;-4;;101,4;72,4;;;29;
Renewable energy;Total final users of energy;2014;106,3;165,7;84,9;147,3;3;;106,3;75;;;31,3;
Renewable energy;Total final users of energy;2015;113,6;155,4;167,8;209,8;0,1;;113,6;78,8;;;34,7;
Renewable energy;Total final users of energy;2016;116,8;149,3;183;214,8;-0,8;;116,8;80,4;;;36,3;
Renewable energy;Total final users of energy;2017;122,6;168,5;211;252,6;-4,2;;122,6;84,6;;;38,1;
Renewable energy;Total final users of energy;2018;139,2;173,4;281,6;309,5;-6,3;;139,2;96,8;;;42,4;
Renewable energy;Total final users of energy;2019;155,9;190,5;339,1;373,9;0,2;;155,9;110,1;;;45,8;
Renewable energy;Total final users of energy;2020;178,9;213,2;432,6;469,2;2,3;;178,9;129,5;;;49,4;
Renewable energy;Total final users of energy;2021**;192;232,8;504,9;542,4;-3,3;;192;139,4;;;52,6;
Renewable energy;Total final users of energy;2022**;221,6;245,3;598,4;606,7;-15,4;;221,6;165,3;;;56,4;
Electricity;Total energy sector and final users;1990;33,1;;493,5;462,2;;1,8;31,3;-259,1;19,1;13,2;258,1;
Electricity;Total energy sector and final users;1991;33;;502,7;471,6;;1,8;31,2;-267,8;20,1;13,7;265,2;
Electricity;Total energy sector and final users;1992;31,2;;509,7;482;;3,6;27,6;-278,1;20,7;14;271;
Electricity;Total energy sector and final users;1993;37,1;;528;493,6;;2,6;34,5;-277,8;22,4;14,2;275,7;
Electricity;Total energy sector and final users;1994;38;;560,5;522,6;;0,1;37,9;-287,5;23,6;14,5;287,3;
Electricity;Total energy sector and final users;1995;41;;568,1;530,3;;3,2;37,8;-292,2;24,1;14,9;290,9;
Electricity;Total energy sector and final users;1996;38,1;;588,9;552,6;;1,8;36,3;-307,5;25,7;15,4;302,7;
Electricity;Total energy sector and final users;1997;45,5;;613,6;569,3;;1,1;44,3;-311,5;24,9;16;314,8;
Electricity;Total energy sector and final users;1998;42,5;;639,4;599,3;;2,4;40,1;-328;25,7;16,7;325,7;
Electricity;Total energy sector and final users;1999;66,4;;670,1;605,7;;2;64,3;-312,2;25,5;17,2;333,9;
Electricity;Total energy sector and final users;2000;68,1;;691,6;626,9;;3,3;64,8;-322,7;26;17,7;343,7;
Electricity;Total energy sector and final users;2001;62,2;;708,3;649,5;;3,4;58,8;-337,2;27,5;18,2;350,3;
Electricity;Total energy sector and final users;2002;59;;720,4;664,5;;3,1;55,9;-345,5;27,3;18,4;355,8;
Electricity;Total energy sector and final users;2003;61,2;;731,2;672,3;;2,3;58,9;-348,5;27,7;18,6;361,2;
Electricity;Total energy sector and final users;2004;58,4;;747,8;694,6;;5,1;53,3;-364,4;28,4;19,3;370;
Electricity;Total energy sector and final users;2005;65,9;;764,8;698,1;;-0,9;66,7;-359,7;30,3;19,5;376,7;
Electricity;Total energy sector and final users;2006;77,3;;776,7;702,2;;2,7;74,5;-355,8;29,6;19,6;381,1;
Electricity;Total energy sector and final users;2007;63,4;;782,3;721,6;;2,7;60,7;-378,6;30,3;19,9;389,1;
Electricity;Total energy sector and final users;2008;57,1;;791;736,1;;2,2;54,9;-387,2;31,1;19,6;391,4;
Electricity;Total energy sector and final users;2009;17,6;;767,8;748,8;;-1,4;19;-409,3;31,4;18,9;378;
Electricity;Total energy sector and final users;2010;10;;811,8;800,6;;-1,2;11,2;-429,4;31,6;20,3;388,7;
Electricity;Total energy sector and final users;2011;32,7;;813,9;782,4;;1,2;31,5;-410,3;33,9;18,7;389,2;
Electricity;Total energy sector and final users;2012;61,6;;801,9;748,2;;7,9;53,7;-371,5;32;18,7;374,5;
Electricity;Total energy sector and final users;2013;65,7;;803,3;738,9;;1,3;64,3;-365,8;35,7;18,5;375,9;
Electricity;Total energy sector and final users;2014;53;;795,6;746,6;;4;49;-372;37,2;17,8;366;
Electricity;Total energy sector and final users;2015;31,5;;760,1;727,3;;-1,2;32,7;-396,8;37,1;19;373,4;
Electricity;Total energy sector and final users;2016;17,7;;759,1;740,6;;-0,7;18,4;-414,6;36,5;19,6;376,9;
Electricity;Total energy sector and final users;2017;12,6;;765,6;753;;0;12,6;-421,9;34,3;19,5;380,7;
Electricity;Total energy sector and final users;2018;28,7;;754,8;725,6;;-0,5;29,2;-411,4;33,3;19,2;388;
Electricity;Total energy sector and final users;2019;3,1;;744,2;742,2;;1,1;2;-436,9;33,2;18,2;387,4;
Electricity;Total energy sector and final users;2020;-9,6;;714,7;728,6;;4,3;-13,9;-443,8;30,1;17,1;382,8;
Electricity;Total energy sector and final users;2021**;0,9;;709,8;714,3;;5,4;-4,5;-439,7;32,1;17,3;385,8;
Electricity;Total energy sector and final users;2022**;-15,4;;699,1;713,8;;-0,6;-14,7;-437,8;31,6;17,3;374,2;
Electricity;Total energy sector;1990;-191,6;;259,4;451;;;-191,6;-222,3;17,5;13,2;;
Electricity;Total energy sector;1991;-198,9;;269,2;468,1;;;-198,9;-231;18,5;13,7;;
Electricity;Total energy sector;1992;-204,6;;274,1;478,7;;;-204,6;-237,6;19;14;;
Electricity;Total energy sector;1993;-207;;274,9;481,9;;;-207;-241,3;20,1;14,2;;
Electricity;Total energy sector;1994;-213,5;;297,1;510,7;;;-213,5;-249,6;21,6;14,5;;
Electricity;Total energy sector;1995;-221;;296;517;;;-221;-258;22,1;14,9;;
Electricity;Total energy sector;1996;-232;;305,2;537,2;;;-232;-270,7;23,3;15,4;;
Electricity;Total energy sector;1997;-235,3;;317,1;552,4;;;-235,3;-273,6;22,3;16;;
Electricity;Total energy sector;1998;-249,9;;330,4;580,3;;;-249,9;-289,5;22,9;16,7;;
Electricity;Total energy sector;1999;-234,6;;351,6;586,2;;;-234,6;-274,4;22,7;17,2;;
Electricity;Total energy sector;2000;-242,4;;363,1;605,5;;;-242,4;-283,3;23,3;17,7;;
Electricity;Total energy sector;2001;-255,7;;373,2;628,8;;;-255,7;-298,6;24,8;18,2;;
Electricity;Total energy sector;2002;-263,9;;378,1;642;;;-263,9;-306,8;24,5;18,4;;
Electricity;Total energy sector;2003;-265,5;;384,2;649,7;;;-265,5;-309,1;25;18,6;;
Electricity;Total energy sector;2004;-279,1;;392,3;671,5;;;-279,1;-324,1;25,6;19,3;;
Electricity;Total energy sector;2005;-267,7;;404,1;671,8;;;-267,7;-314,5;27,3;19,5;;
Electricity;Total energy sector;2006;-259,2;;411,5;670,7;;;-259,2;-305,3;26,5;19,6;;
Electricity;Total energy sector;2007;-273,7;;410,1;683,8;;;-273,7;-320,7;27,1;19,9;;
Electricity;Total energy sector;2008;-269,8;;418,6;688,4;;;-269,8;-316,7;27,3;19,6;;
Electricity;Total energy sector;2009;-292,2;;409,3;701,5;;;-292,2;-338,5;27,5;18,9;;
Electricity;Total energy sector;2010;-302,2;;442,5;744,7;;;-302,2;-350;27,5;20,3;;
Electricity;Total energy sector;2011;-279,9;;444,9;724,8;;;-279,9;-328,3;29,7;18,7;;
Electricity;Total energy sector;2012;-242,9;;447,6;690,5;;;-242,9;-289;27,4;18,7;;
Electricity;Total energy sector;2013;-235,4;;448,3;683,7;;;-235,4;-285,1;31,3;18,5;;
Electricity;Total energy sector;2014;-249,2;;450,1;699,3;;;-249,2;-299,8;32,8;17,8;;
Electricity;Total energy sector;2015;-269,5;;406,7;676,2;;;-269,5;-321,5;33;19;;
Electricity;Total energy sector;2016;-286,6;;402,1;688,7;;;-286,6;-338,3;32,1;19,6;;
Electricity;Total energy sector;2017;-288,4;;409,1;697,5;;;-288,4;-337,6;29,6;19,5;;
Electricity;Total energy sector;2018;-273,2;;391,4;664,6;;;-273,2;-321,1;28,7;19,2;;
Electricity;Total energy sector;2019;-292,3;;386;678,3;;;-292,3;-339;28,5;18,2;;
Electricity;Total energy sector;2020;-284;;363,1;647,1;;;-284;-326,4;25,3;17,1;;
Electricity;Total energy sector;2021**;-267,6;;358,4;626;;;-267,6;-312,1;27,2;17,3;;
Electricity;Total energy sector;2022**;-263,8;;357,7;621,5;;;-263,8;-307,9;26,8;17,3;;
Electricity;Total final users of energy;1990;223;;234,2;11,2;;;223;-36,7;1,6;;258,1;
Electricity;Total final users of energy;1991;230;;233,5;3,5;;;230;-36,7;1,6;;265,2;
Electricity;Total final users of energy;1992;232,2;;235,6;3,3;;;232,2;-40,5;1,7;;271;
Electricity;Total final users of energy;1993;241,5;;253,1;11,6;;;241,5;-36,5;2,3;;275,7;
Electricity;Total final users of energy;1994;251,4;;263,3;11,9;;;251,4;-37,9;2;;287,3;
Electricity;Total final users of energy;1995;258,8;;272;13,2;;;258,8;-34,2;2;;290,9;
Electricity;Total final users of energy;1996;268,3;;283,8;15,4;;;268,3;-36,8;2,4;;302,7;
Electricity;Total final users of energy;1997;279,6;;296,5;16,9;;;279,6;-37,8;2,6;;314,8;
Electricity;Total final users of energy;1998;290;;309;19,1;;;290;-38,5;2,8;;325,7;
Electricity;Total final users of energy;1999;298,9;;318,5;19,6;;;298,9;-37,7;2,8;;333,9;
Electricity;Total final users of energy;2000;307,2;;328,5;21,3;;;307,2;-39,3;2,8;;343,7;
Electricity;Total final users of energy;2001;314,5;;335,2;20,7;;;314,5;-38,6;2,7;;350,3;
Electricity;Total final users of energy;2002;319,8;;342,3;22,5;;;319,8;-38,8;2,8;;355,8;
Electricity;Total final users of energy;2003;324,4;;347;22,6;;;324,4;-39,5;2,7;;361,2;
Electricity;Total final users of energy;2004;332,4;;355,5;23,1;;;332,4;-40,3;2,7;;370;
Electricity;Total final users of energy;2005;334,4;;360,7;26,3;;;334,4;-45,2;3;;376,7;
Electricity;Total final users of energy;2006;333,7;;365,2;31,5;;;333,7;-50,5;3,1;;381,1;
Electricity;Total final users of energy;2007;334,4;;372,1;37,7;;;334,4;-57,9;3,2;;389,1;
Electricity;Total final users of energy;2008;324,7;;372,3;47,7;;;324,7;-70,5;3,8;;391,4;
Electricity;Total final users of energy;2009;311,2;;358,5;47,3;;;311,2;-70,8;3,9;;378;
Electricity;Total final users of energy;2010;313,4;;369,3;55,9;;;313,4;-79,4;4,1;;388,7;
Electricity;Total final users of energy;2011;311,5;;369,1;57,6;;;311,5;-82;4,2;;389,2;
Electricity;Total final users of energy;2012;296,6;;354,4;57,8;;;296,6;-82,5;4,6;;374,5;
Electricity;Total final users of energy;2013;299,7;;355;55,2;;;299,7;-80,6;4,4;;375,9;
Electricity;Total final users of energy;2014;298,2;;345,5;47,3;;;298,2;-72,2;4,3;;366;
Electricity;Total final users of energy;2015;302,3;;353,4;51,1;;;302,3;-75,3;4,1;;373,4;
Electricity;Total final users of energy;2016;305;;357;52;;;305;-76,3;4,4;;376,9;
Electricity;Total final users of energy;2017;301,1;;356,6;55,5;;;301,1;-84,3;4,7;;380,7;
Electricity;Total final users of energy;2018;302,4;;363,4;61;;;302,4;-90,2;4,6;;388;
Electricity;Total final users of energy;2019;294,3;;358,2;64;;;294,3;-97,9;4,7;;387,4;
Electricity;Total final users of energy;2020;270,1;;351,5;81,4;;;270,1;-117,4;4,7;;382,8;
Electricity;Total final users of energy;2021**;263,1;;351,4;88,3;;;263,1;-127,6;4,9;;385,8;
Electricity;Total final users of energy;2022**;249,1;;341,4;92,3;;;249,1;-130;4,9;;374,2;
Heat;Total energy sector and final users;1990;;;47,3;47,3;;;;-151,3;17,8;1,6;131,9;
Heat;Total energy sector and final users;1991;;;59,2;59,2;;;;-165,8;22,2;3;140,6;
Heat;Total energy sector and final users;1992;;;62;62;;;;-170,3;17,3;3,1;149,9;
Heat;Total energy sector and final users;1993;;;75,7;75,7;;;;-167,2;17,4;3,9;145,9;
Heat;Total energy sector and final users;1994;;;96,1;96,1;;;;-184,2;17,1;4,4;162,7;
Heat;Total energy sector and final users;1995;;;137,8;137,8;;;;-208,2;17,7;4,7;185,8;
Heat;Total energy sector and final users;1996;;;155;155;;;;-222,4;18,4;5,6;198,3;
Heat;Total energy sector and final users;1997;;;190,8;190,8;;;;-220,4;16;4,2;200,3;
Heat;Total energy sector and final users;1998;;;227,2;227,2;;;;-231,1;19,5;4,9;206,8;
Heat;Total energy sector and final users;1999;;;211,6;211,6;;;;-239,2;18,8;4,4;216;
Heat;Total energy sector and final users;2000;;;209;209;;;;-240,1;21,6;4,5;213,9;
Heat;Total energy sector and final users;2001;;;209,4;209,4;;;;-240,5;22,5;4,7;213,3;
Heat;Total energy sector and final users;2002;;;219,9;219,9;;;;-239,6;21,6;4,9;213,1;
Heat;Total energy sector and final users;2003;;;222,6;222,6;;;;-239,7;21,2;5,1;213,3;
Heat;Total energy sector and final users;2004;;;229,2;229,2;;;;-247;20,2;5,3;221,5;
Heat;Total energy sector and final users;2005;;;219,2;219,2;;;;-246,2;20,4;5,1;220,7;
Heat;Total energy sector and final users;2006;;;195;195;;;;-222,3;16,2;5,1;201;
Heat;Total energy sector and final users;2007;;;190,9;190,9;;;;-230,8;21,2;3,7;205,9;
Heat;Total energy sector and final users;2008;;;189,4;189,4;;;;-240,9;19,4;3,9;217,6;
Heat;Total energy sector and final users;2009;;;189,5;189,5;;;;-226,8;22,7;3,9;200,3;
Heat;Total energy sector and final users;2010;;;199;199;;;;-245,2;24,2;4,2;216,8;
Heat;Total energy sector and final users;2011;;;192,6;192,6;;;;-236,7;23,1;3,8;209,7;
Heat;Total energy sector and final users;2012;;;184,1;184,1;;;;-225,5;21,1;3,4;201;
Heat;Total energy sector and final users;2013;;;184,8;184,8;;;;-222,2;18,9;3,5;199,9;
Heat;Total energy sector and final users;2014;;;179,5;179,5;;;;-201,1;17,1;3,1;180,9;
Heat;Total energy sector and final users;2015;;;172,6;172,6;;;;-196,4;16,4;8,2;171,8;
Heat;Total energy sector and final users;2016;;;164,2;164,2;;;;-189,9;15,5;8,7;165,8;
Heat;Total energy sector and final users;2017;;;160,9;160,9;;;;-191,1;15,5;8,4;167,2;
Heat;Total energy sector and final users;2018;;;144,9;144,9;;;;-184,6;13,9;8,1;162,5;
Heat;Total energy sector and final users;2019;;;136;136;;;;-194,5;15,3;8,3;170,8;
Heat;Total energy sector and final users;2020;;;124,2;124,2;;;;-196;15,2;8,5;172,3;
Heat;Total energy sector and final users;2021**;;;127,5;127,5;;;;-202,1;15,2;8,6;178,3;
Heat;Total energy sector and final users;2022**;;;117,8;117,8;;;;-176,4;17,8;8,6;150;
Heat;Total energy sector;1990;-20,8;;11,1;31,9;;;-20,8;-40,2;17,8;1,6;;
Heat;Total energy sector;1991;-26,9;;16,2;43,1;;;-26,9;-52,2;22,2;3;;
Heat;Total energy sector;1992;-28,8;;16,3;45,1;;;-28,8;-49,2;17,3;3,1;;
Heat;Total energy sector;1993;-39,8;;17;56,7;;;-39,8;-61,1;17,4;3,9;;
Heat;Total energy sector;1994;-59;;16;75;;;-59;-80,5;17,1;4,4;;
Heat;Total energy sector;1995;-96,4;;18,8;115,2;;;-96,4;-118,8;17,7;4,7;;
Heat;Total energy sector;1996;-108,3;;24,1;132,4;;;-108,3;-132,4;18,4;5,6;;
Heat;Total energy sector;1997;-106,9;;42,8;149,7;;;-106,9;-127,1;16;4,2;;
Heat;Total energy sector;1998;-117;;56;173;;;-117;-141,4;19,5;4,9;;
Heat;Total energy sector;1999;-127;;49,2;176,2;;;-127;-150,1;18,8;4,4;;
Heat;Total energy sector;2000;-122,8;;47,4;170,1;;;-122,8;-148,9;21,6;4,5;;
Heat;Total energy sector;2001;-125,9;;44,8;170,7;;;-125,9;-153,1;22,5;4,7;;
Heat;Total energy sector;2002;-127,7;;47,9;175,6;;;-127,7;-154,2;21,6;4,9;;
Heat;Total energy sector;2003;-127,9;;50,9;178,8;;;-127,9;-154,2;21,2;5,1;;
Heat;Total energy sector;2004;-136,2;;53;189,2;;;-136,2;-161,8;20,2;5,3;;
Heat;Total energy sector;2005;-130,6;;51,1;181,6;;;-130,6;-156;20,4;5,1;;
Heat;Total energy sector;2006;-105,7;;53,3;159;;;-105,7;-127;16,2;5,1;;
Heat;Total energy sector;2007;-104,9;;49,6;154,5;;;-104,9;-129,9;21,2;3,7;;
Heat;Total energy sector;2008;-103,4;;50,3;153,7;;;-103,4;-126,6;19,4;3,9;;
Heat;Total energy sector;2009;-88,1;;66;154,1;;;-88,1;-114,7;22,7;3,9;;
Heat;Total energy sector;2010;-92,1;;71,6;163,6;;;-92,1;-120,5;24,2;4,2;;
Heat;Total energy sector;2011;-85,4;;70,6;155,9;;;-85,4;-112,4;23,1;3,8;;
Heat;Total energy sector;2012;-74,4;;68,3;142,7;;;-74,4;-98,9;21,1;3,4;;
Heat;Total energy sector;2013;-75,9;;66,7;142,6;;;-75,9;-98,2;18,9;3,5;;
Heat;Total energy sector;2014;-70,3;;65,4;135,7;;;-70,3;-90,5;17,1;3,1;;
Heat;Total energy sector;2015;-59,6;;50;109,6;;;-59,6;-84,2;16,4;8,2;;
Heat;Total energy sector;2016;-53,8;;47,4;101,2;;;-53,8;-77,9;15,5;8,7;;
Heat;Total energy sector;2017;-45,6;;51,5;97,1;;;-45,6;-69,6;15,5;8,4;;
Heat;Total energy sector;2018;-49,8;;39,4;89,2;;;-49,8;-71,8;13,9;8,1;;
Heat;Total energy sector;2019;-49,7;;40,6;90,3;;;-49,7;-73,4;15,3;8,3;;
Heat;Total energy sector;2020;-37,8;;39,8;77,6;;;-37,8;-61,5;15,2;8,5;;
Heat;Total energy sector;2021**;-40;;39,1;79,1;;;-40;-63,8;15,2;8,6;;
Heat;Total energy sector;2022**;-32,3;;39,7;71,9;;;-32,3;-58,7;17,8;8,6;;
Heat;Total final users of energy;1990;20,8;;36,2;15,4;;;20,8;-111,1;;;131,9;
Heat;Total final users of energy;1991;26,9;;43;16,1;;;26,9;-113,7;;;140,6;
Heat;Total final users of energy;1992;28,8;;45,7;16,9;;;28,8;-121,1;;;149,9;
Heat;Total final users of energy;1993;39,8;;58,8;19;;;39,8;-106,2;;;145,9;
Heat;Total final users of energy;1994;59;;80,1;21,1;;;59;-103,7;;;162,7;
Heat;Total final users of energy;1995;96,4;;119;22,5;;;96,4;-89,4;;;185,8;
Heat;Total final users of energy;1996;108,3;;130,9;22,6;;;108,3;-90;;;198,3;
Heat;Total final users of energy;1997;106,9;;148;41,1;;;106,9;-93,4;;;200,3;
Heat;Total final users of energy;1998;117;;171,2;54,2;;;117;-89,7;;;206,8;
Heat;Total final users of energy;1999;127;;162,4;35,4;;;127;-89,1;;;216;
Heat;Total final users of energy;2000;122,8;;161,6;38,9;;;122,8;-91,2;;;213,9;
Heat;Total final users of energy;2001;125,9;;164,6;38,7;;;125,9;-87,4;;;213,3;
Heat;Total final users of energy;2002;127,7;;172;44,3;;;127,7;-85,4;;;213,1;
Heat;Total final users of energy;2003;127,9;;171,7;43,9;;;127,9;-85,5;;;213,3;
Heat;Total final users of energy;2004;136,2;;176,2;39,9;;;136,2;-85,3;;;221,5;
Heat;Total final users of energy;2005;130,6;;168,2;37,6;;;130,6;-90,2;;;220,7;
Heat;Total final users of energy;2006;105,7;;141,7;36;;;105,7;-95,3;;;201;
Heat;Total final users of energy;2007;104,9;;141,3;36,4;;;104,9;-101;;;205,9;
Heat;Total final users of energy;2008;103,4;;139,1;35,7;;;103,4;-114,2;;;217,6;
Heat;Total final users of energy;2009;88,1;;123,5;35,4;;;88,1;-112,1;;;200,3;
Heat;Total final users of energy;2010;92,1;;127,4;35,3;;;92,1;-124,7;;;216,8;
Heat;Total final users of energy;2011;85,4;;122;36,6;;;85,4;-124,3;;;209,7;
Heat;Total final users of energy;2012;74,4;;115,9;41,5;;;74,4;-126,6;;;201;
Heat;Total final users of energy;2013;75,9;;118,1;42,2;;;75,9;-124;;;199,9;
Heat;Total final users of energy;2014;70,3;;114,1;43,8;;;70,3;-110,6;;;180,9;
Heat;Total final users of energy;2015;59,6;;122,5;62,9;;;59,6;-112,2;;;171,8;
Heat;Total final users of energy;2016;53,8;;116,8;63;;;53,8;-112;;;165,8;
Heat;Total final users of energy;2017;45,6;;109,4;63,8;;;45,6;-121,6;;;167,2;
Heat;Total final users of energy;2018;49,8;;105,5;55,7;;;49,8;-112,8;;;162,5;
Heat;Total final users of energy;2019;49,7;;95,4;45,7;;;49,7;-121,1;;;170,8;
Heat;Total final users of energy;2020;37,8;;84,4;46,6;;;37,8;-134,5;;;172,3;
Heat;Total final users of energy;2021**;40;;88,4;48,3;;;40;-138,3;;;178,3;
Heat;Total final users of energy;2022**;32,3;;78,1;45,8;;;32,3;-117,7;;;150;
Total other energy commodities;Total energy sector and final users;1990;52,8;52,8;;;;;52,8;49,4;;;3,4;
Total other energy commodities;Total energy sector and final users;1991;50;50;;;;;50;47,4;;;2,6;
Total other energy commodities;Total energy sector and final users;1992;61;61;;;;;61;57,2;;;3,9;
Total other energy commodities;Total energy sector and final users;1993;61,7;61,7;;;;;61,7;59,6;;;2,1;
Total other energy commodities;Total energy sector and final users;1994;61,4;61,4;;;;;61,4;60;;;1,4;
Total other energy commodities;Total energy sector and final users;1995;66;66;;;;;66;62,4;;;3,6;
Total other energy commodities;Total energy sector and final users;1996;71,2;71,2;;;;;71,2;67,7;;;3,5;
Total other energy commodities;Total energy sector and final users;1997;56,1;56,1;;;;;56,1;52,3;;;3,9;
Total other energy commodities;Total energy sector and final users;1998;71,2;71,2;;;;;71,2;67,4;;;3,8;
Total other energy commodities;Total energy sector and final users;1999;72,2;72,2;;;;;72,2;68,9;;;3,3;
Total other energy commodities;Total energy sector and final users;2000;72;72;;;;;72;69,5;;;2,5;
Total other energy commodities;Total energy sector and final users;2001;72,8;72,8;;;;;72,8;70,5;;;2,3;
Total other energy commodities;Total energy sector and final users;2002;74,2;74,2;;;;;74,2;71,2;;;3;
Total other energy commodities;Total energy sector and final users;2003;77,3;77,3;;;;;77,3;74,4;;;2,9;
Total other energy commodities;Total energy sector and final users;2004;77,4;77,4;;;;;77,4;72,7;;;4,7;
Total other energy commodities;Total energy sector and final users;2005;80,6;80,6;;;;;80,6;74,5;;;6,2;
Total other energy commodities;Total energy sector and final users;2006;73,4;73,4;;;;;73,4;67,5;;;5,8;
Total other energy commodities;Total energy sector and final users;2007;80;80;;;;;80;74,3;;;5,7;
Total other energy commodities;Total energy sector and final users;2008;80,2;80,2;;;;;80,2;74,9;;;5,3;
Total other energy commodities;Total energy sector and final users;2009;80;80;;;;;80;75,2;;;4,8;
Total other energy commodities;Total energy sector and final users;2010;75,5;75,5;;;;;75,5;71,9;;;3,7;
Total other energy commodities;Total energy sector and final users;2011;78,8;78,2;1,6;1,1;;;78,8;75;;;3,8;
Total other energy commodities;Total energy sector and final users;2012;78,6;75,4;4,3;1,2;;;78,6;73,4;;;5,2;
Total other energy commodities;Total energy sector and final users;2013;69,3;63,4;7,1;1,2;;;69,3;64;;;5,2;
Total other energy commodities;Total energy sector and final users;2014;81,5;75,6;7,2;1,2;;;81,5;77,6;;;4;
Total other energy commodities;Total energy sector and final users;2015;83,6;77,3;7,7;1,5;;;83,6;83,5;;;0,1;
Total other energy commodities;Total energy sector and final users;2016;85,3;77,6;9,2;1,5;;;85,3;84,9;;;0,4;
Total other energy commodities;Total energy sector and final users;2017;80,9;73,4;9;1,5;;;80,9;80,2;;;0,7;
